,0
0,408.3303593293829
1,409.5464556251803
2,410.26183782852485
3,410.34932792794154
4,409.8570941484308
5,408.9892859428778
6,408.04369242161164
7,407.3269707736247
8,407.07251505217215
9,407.382221058705
10,408.204895631743
11,409.3545623624219
12,410.5630957882253
13,411.55378899284176
14,412.1165640562897
15,412.16389741385166
16,411.75132942395265
17,411.05719804740215
18,410.3290702546476
19,409.81396552431505
20,409.6925362720509
21,410.0341169299833
22,410.78261155104366
23,411.7752358388383
24,412.78858002426085
25,413.59997460645747
26,414.0478128029167
27,414.0740805141182
28,413.7370935645796
29,413.19144929136036
30,412.64223355149517
31,412.28770115601355
32,412.2666903029595
33,412.6242164951224
34,413.3029494047684
35,414.16159916227446
36,415.01486170862705
37,415.6843100703557
38,416.04653497583945
39,416.06522665201015
40,415.79834679745255
41,415.37900427588244
42,414.9764939363549
43,414.7493189677677
44,414.8033272517165
45,415.16562937538225
46,415.7801701019876
47,416.525222591736
48,417.24775195572204
49,417.80539770577343
50,418.1047045940101
51,418.125096359632
52,417.92213030962967
53,417.6097149445228
54,417.3271076898262
55,417.2005128102662
56,417.30988625029386
57,417.66938435742446
58,418.22586286648084
59,418.87514218058607
60,419.4913594833518
61,419.9614333223088
62,420.2152750320071
63,420.2435043589597
64,420.09801012920224
65,419.8757279955175
66,419.69080278879755
67,419.6432851776537
68,419.7929262386875
69,420.1447152161525
70,420.6494069979011
71,421.21837254392915
72,421.74851091696166
73,422.15041282178976
74,422.372113731581
75,422.41200776283813
76,422.3176162622499
77,422.1710075700818
78,422.06541014373687
79,422.0797730785409
80,422.2581791936498
81,422.59931878784874
82,423.05836301943737
83,423.5603243413891
84,424.02107813239553
85,424.3702766672837
86,424.56992508741445
87,424.6236353703936
88,424.57426138858875
89,424.4909515634741
90,424.4495775845869
91,424.5121269289023
92,424.7106163699033
93,425.03958463910686
94,425.45880165988376
95,425.90514232423595
96,426.31023146970756
97,426.6190078003426
98,426.80416834382675
99,426.8726539739138
100,426.86262601584673
101,426.8320839694028
102,426.842549378402
103,426.94242931402874
104,427.15452075063024
105,427.47079704055284
106,427.85557881955356
107,428.25597765508763
108,428.61663417911706
109,428.8946950584763
110,429.07097520469665
111,429.1543676828917
112,429.1784991124701
113,429.19180891891926
114,429.2439974606806
115,429.3726433589447
116,429.59356092845115
117,429.89731081775227
118,430.25256409902727
119,430.61520619485714
